Date,Symbol,Order,Shares
2008-01-08,GOOG,SELL,100
2008-01-15,GOOG,BUY,100
2008-01-16,GOOG,SELL,100
2008-01-24,GOOG,BUY,100
2008-01-28,GOOG,SELL,100
2008-02-04,GOOG,BUY,100
2008-02-08,GOOG,BUY,100
2008-02-15,GOOG,SELL,100
2008-02-19,GOOG,SELL,100
2008-02-26,GOOG,BUY,100
2008-02-28,GOOG,SELL,100
2008-03-06,GOOG,BUY,100
2008-03-19,GOOG,BUY,100
2008-03-27,GOOG,SELL,100
2008-03-28,GOOG,BUY,100
2008-04-04,GOOG,SELL,100
2008-04-10,GOOG,SELL,100
2008-04-17,GOOG,BUY,100
2008-04-24,GOOG,BUY,100
2008-05-01,GOOG,SELL,100
2008-05-15,GOOG,SELL,100
2008-05-22,GOOG,BUY,100
2008-06-05,GOOG,SELL,100
2008-06-12,GOOG,BUY,100
2008-06-27,GOOG,BUY,100
2008-07-07,GOOG,SELL,100
2008-07-08,GOOG,SELL,100
2008-07-15,GOOG,BUY,100
2008-07-16,GOOG,SELL,100
2008-07-23,GOOG,BUY,100
2008-08-01,GOOG,BUY,100
2008-08-08,GOOG,SELL,100
2008-08-19,GOOG,SELL,100
2008-08-26,GOOG,BUY,100
2008-08-28,GOOG,SELL,100
2008-09-05,GOOG,BUY,100
2008-09-09,GOOG,BUY,100
2008-09-16,GOOG,SELL,100
2008-09-22,GOOG,SELL,100
2008-09-29,GOOG,BUY,100
2008-09-30,GOOG,SELL,100
2008-10-07,GOOG,BUY,100
2008-10-09,GOOG,BUY,100
2008-10-16,GOOG,SELL,100
2008-10-17,GOOG,SELL,100
2008-10-24,GOOG,BUY,100
2008-10-27,GOOG,BUY,100
2008-11-03,GOOG,SELL,100
2008-11-04,GOOG,SELL,100
2008-11-11,GOOG,BUY,100
2008-11-13,GOOG,SELL,100
2008-11-20,GOOG,BUY,100
2008-11-21,GOOG,BUY,100
2008-12-01,GOOG,SELL,100
2008-12-02,GOOG,BUY,100
2008-12-09,GOOG,SELL,100
2008-12-10,GOOG,BUY,100
2008-12-17,GOOG,SELL,100
2008-12-19,GOOG,SELL,100
2008-12-29,GOOG,BUY,100
2008-12-30,GOOG,BUY,100
2009-01-07,GOOG,SELL,100
2009-01-08,GOOG,SELL,100
2009-01-15,GOOG,BUY,100
2009-01-16,GOOG,BUY,100
2009-01-26,GOOG,SELL,100
2009-01-30,GOOG,BUY,100
2009-02-06,GOOG,SELL,100
2009-02-09,GOOG,SELL,100
2009-02-17,GOOG,BUY,100
2009-02-23,GOOG,SELL,100
2009-03-02,GOOG,BUY,100
2009-03-03,GOOG,SELL,100
2009-03-10,GOOG,BUY,100
2009-03-13,GOOG,BUY,100
2009-03-20,GOOG,SELL,100
2009-03-30,GOOG,BUY,100
2009-04-06,GOOG,SELL,100
2009-04-09,GOOG,BUY,100
2009-04-17,GOOG,SELL,100
2009-04-20,GOOG,BUY,100
2009-04-27,GOOG,SELL,100
2009-04-28,GOOG,BUY,100
2009-05-05,GOOG,SELL,100
2009-05-20,GOOG,BUY,100
2009-05-28,GOOG,SELL,100
2009-05-29,GOOG,BUY,100
2009-06-05,GOOG,SELL,100
2009-06-24,GOOG,BUY,100
2009-07-01,GOOG,SELL,100
2009-07-06,GOOG,BUY,100
2009-07-13,GOOG,SELL,100
2009-07-17,GOOG,BUY,100
2009-07-24,GOOG,SELL,100
2009-08-26,GOOG,SELL,100
2009-09-02,GOOG,BUY,100
2009-09-09,GOOG,BUY,100
2009-09-16,GOOG,SELL,100
2009-09-30,GOOG,BUY,100
2009-10-07,GOOG,SELL,100
2009-10-09,GOOG,BUY,100
2009-10-16,GOOG,SELL,100
2009-10-23,GOOG,SELL,100
2009-10-30,GOOG,BUY,100
